id,nombre,GBA (m2),Niveles,descripción,ubicacion,tipologia,Tipo de Espacios,Vegetacion,Capacidad,Certificación,Altura (m),NSA (m2),FSR / CUS,Estacionamiento (Cajones),Costo Aproximado (USD)
P41,Barrio Santa Lucía,"13,500 m2",16,"Desarrollo vertical de usos mixtos: comercio, vivienda, oficinas y hotel.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","95 Departamentos, 330 Residentes, 210 Visitantes/Día",Potencial LEED,60.8 m,"11,475 m2",6,337,"$15,882,352.94 USD"
P40,Aulas X,"3,017 m2",3,Edificio de aulas universitarias diseñado para educación superior y desarrollo académico avanzado.,"Monterrey, N.L., México",Educación,"Áreas de estudio, Auditorio, Aulas académicas, Cubículos, Laboratorios especializados, Sanitarios","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.",862 alumnos,Potencial LEED,11.4 m,"2,564 m2",3.5,75,"$3,549,411.76 USD"
P39,Zonna,"4,091 m2",7,Desarrollo vertical de lujo frente al mar con usos mixtos.,"Cancún, Q.Roo, México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Cowork/oficinas, Departamentos (vivienda), Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","28 Departamentos, 100 Residentes, 63 Visitantes/Día",Potencial LEED,26.6 m,"3,477 m2",3.5,102,"$6,738,117.65 USD"
P38,Makmul,"58,000 m2",150 Casas (2-3 niveles) y 2 Torres (20 niveles),Conjunto residencial de dos torres con amenidades y áreas verdes.,"Cancún, Q.Roo, México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","150 Casas, 280 Departamentos, 1,500 Residentes, 900 Visitantes/Día",-,11.4 m,"49,300 m2",3.5,"1,450","$68,235,294.12 USD"
P37,Aeropuerto Norman Manley,0,1,Infraestructura aeroportuaria internacional (Confidencial).,"Kingston, Jamaica",Infraestructura,"Pistas, Terminal, Zonas operativas",-,0,0,0,0,0,0,0
P36,Residencias TEC,"1,480 m2",5,Vivienda estudiantil accesible conectada a servicios y educación.,"Puebla, Pue., México",Vivienda,"Dormitorios, Oficinas, Sanitarios, Áreas generales","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",12 Familias,-,19.0 m,"1,258 m2",3.5,37,"$1,741,176.47 USD"
P35,Naomi,"3,028 m2",6,"Desarrollo vertical mixto integrando comercio, vivienda y oficinas.","Cancún, Q.Roo, México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","21 Deptos, 74 Residentes, 47 Visitantes/Día ",-,22.8 m,"2,574 m2",3.5,75,"$4,987,294.12 USD"
P34,Carretera San Miguel,30 km,1,Pavimentación carretera de 30 km con tecnología de concreto avanzada.,"San Miguel, GTO, México",Infraestructura,"Acotamientos, Carriles de rodamiento, Drenaje pluvial, Señalización vial",-,"25,000 Vehículos/Día",-,-,-,-,-,"$88,235,294.12 USD"
P33,Medline,"3,359 m2",1,Pavimentación industrial de alta especificación.,"Nuevo Laredo, Tamps., México",Infraestructura,"Guarniciones, Juntas de construcción, Superficie de rodamiento industrial",-,-,-,-,-,-,-,"$493,970.59 USD"
P32,Mediterráneo,"18,562 m2",22,"Complejo de usos mixtos con vivienda, hotelería y comercio.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","130 Departamentos, 453 Residentes, 288 Visitantes/Día",-,83.6 m,"1,230 m2",6,36,"$30,572,705.88 USD"
