Grupo,Nombre,Nivel,% Dominio,Clasificación,Capacidad,Descripción,Icono,Vínculo
1. Producción y Modelado,AutoCAD,Bajo,25%,Secundario,Consulta de planos 2D y ediciones básicas.,Planos y 2D,pen-tool,
1. Producción y Modelado,Bimologic,Medio,50%,Principal,Automatización de procesos y gestión de datos Revit.,Automatización y Datos,cpu,
1. Producción y Modelado,Recap,Medio,50%,Secundario,Procesamiento y limpieza de nubes de puntos.,Nubes de puntos,scan,
1. Producción y Modelado,Revit,Alto,75%,Principal,Modelado integral de proyectos complejos.,Modelado BIM,layers,
2. Coordinación y CDE,ACC / BIM 360,Medio,50%,Principal,"Gestión de CDE, coordinación y aprobación.",Gestión CDE y Cloud,cloud,
2. Coordinación y CDE,BIMcollab,Bajo,25%,Secundario,Gestión de incidencias BCF y comunicación.,Gestión de incidencias,message-square,
2. Coordinación y CDE,Dalux,Medio,50%,Principal,Supervisión de obra y realidad aumentada.,Incidencias y AR,smartphone,
2. Coordinación y CDE,Navisworks,Bajo,25%,Secundario,Trabajo con interferencias y colisiones.,Clash Detection,crosshair,
2. Coordinación y CDE,Solibri,-,-%,Secundario,Validación técnica y detección de colisiones.,Validación y Coordinación,search,https://www.udemy.com/course/model-checking-for-bim-with-solibri/
2. Coordinación y CDE,Speckle,Medio,50%,Secundario,Intercambio de datos e interoperabilidad.,Interoperabilidad,box,
3. IA y Automatización,Antigravity,Bajo,25%,Secundario,Optimización de flujos y desarrollo.,Programación y Optimiz.,code,
3. IA y Automatización,Dynamo / Python,Bajo,25%,Secundario,Creación de scripts y automatización.,Scripting y Automatiz.,code,https://www.udemy.com/course/dynamo-y-designscript-para-revit-de-cero-a-experto-parte-1/
3. IA y Automatización,Gemini AI,Medio,75%,Principal,"Generación de scripts, imágenes y asistentes.",Asistente Flujo Global,sparkles,
3. IA y Automatización,NotebookLM,Alto,75%,Secundario,Análisis de documentos y normativas con IA.,Análisis Documental,book-open,
4. Gestión y Análisis,Monday,Medio,75%,Secundario,Organización de tareas y cronogramas.,Gestión de tiempos,layout-list,
4. Gestión y Análisis,Plannerly,Bajo,25%,Principal,Requisitos de información y Clash Avoidance.,Gestión de procesos,shield-check,
4. Gestión y Análisis,Power BI,Medio,50%,Secundario,Tableros para visualizar métricas BIM.,Inteligencia de Datos,bar-chart-3,
5. Visualización,Twinmotion,Medio,75%,Secundario,Visualizaciones y recorridos virtuales.,Render Real-time,image,
