Seccion,Rol,Responsabilidades,IN ,OUT ,Metodología Técnica,Icono
En Obra,Superintendente,Autoridad y decisiones.,Consulta el avance de obra y costos del proyecto.,Tableros de control de avance y costos en Power BI.,Dynamo extrae datos de Revit y los procesa para visualizarlos en Power BI.,hard-hat
En Obra,Residente de Obra,Supervisión y enlace.,"Reporte de avances, cambios en sitio y nubes de puntos",Modelo BIM as-built actualizado mediante Dalux y nubes de puntos.,Sincronización de datos de campo de Dalux a Revit mediante Dynamo.,clipboard-check
En Obra,Jefe de Control,Estimaciones y presupuestos.,Solicita los planos y tablas para estimaciones y cobros.,"Generación automática de decenas vistas, planos y tablas.",Script de Dynamo que automatiza la creación y etiquetado masivo de documentación.,calculator
En Obra,Contratistas,Ejecución y plazos.,Solicita apoyo para interpretar la información técnica del modelo.,Revisión de modelos ligeros en Speckle.,Uso de Speckle para facilitar la visualización del modelo a agentes externos.,tools
En Obra,Mano de Obra,Ejecución técnica supervisada.,Busca claridad sobre el proceso de montaje en sitio.,Detalles 3D en sitio mediante Dalux y/o Speckle.,Acceso a información geométrica clara desde dispositivos móviles en el frente de obra.,user-worker
En Obra,Cliente,Supervisión diseño estética.,Desea visualizar el aspecto final de la construcción.,Alternativas estéticas visualizadas en segundos con IA.,Visualización en tiempo real con Twinmotion e IA para toma de decisiones.,user-tie
En Oficina,Gerente BIM,Estrategia y gestión.,Evalúa el cumplimiento de hitos y plazos del proyecto.,Cronograma de metas sincronizado en Monday.,Vinculación de parámetros de Revit con la plataforma de gestión Monday.,building
En Oficina,BIM Manager,"Calidad, PIR, EIR y BEP.",Verifica que el modelo siga los estándares y normas.,"Revisión de normas, estándares y documentación con Gemini y Notebook LM",Uso de Gemini y Notebook LM para auditar el cumplimiento de requisitos.,desktop
En Oficina,Coordinador BIM,Coordinación e integración.,Integra las disciplinas para resolver conflictos entre modelos.,Gestión colaborativa de interferencias en Navisworks y ACC/Dalux.,Detección de colisiones en Navisworks y seguimiento de incidencias en la nube.,project-diagram
En Oficina,Modeladores,Modelado y datos.,Ayuda con modelado y dudas generales,Automatización de tareas repetitivas con ayuda de Dynamo y Agentes IA personalizados,Soporte técnico de IA para acelerar el modelado y la creación de scripts.,cubes
En Oficina,Cliente,Decisiones y aprobación.,Explora opciones para mejorar diseño ,Alternativas estéticas visualizadas en segundos con IA.,Generación de variantes de diseño fotorrealistas con Gemini AI.,users
En Oficina,Despachos externos,Ingenierías e integración.,Entrega sus modelos para la coordinación con el central.,Coordinación de modelos federados con trazabilidad de incidencias BCF vía ACC/Dalux y/o Speckle.,Intercambio de información eficiente entre especialidades usando nubes colaborativas.,external-link
